year,pb_Austria,pb_Germany,pb_Norway,pb_Portugal,pb_Switzerland,d_Austria,d_Germany,d_Norway,d_Portugal,d_Switzerland
1950.0,-7.4588966071606,2.0017832815647,0.14387118816376,-0.29990714788437,2.8688199520111,20.317199707031,17.753700256348,28.980499267578,18.754499435425,39.08039855957
1951.0,-1.3566522449255,1.3731061667204,2.4009558558464,1.4405455589294,0.91341960430145,15.448599815369,16.19409942627,24.114599227905,17.375699996948,36.140300750732
1952.0,-0.54687562584877,0.27426999807358,2.9031247496605,0.19269520044327,0.087689757347107,17.088199615479,16.297199249268,21.828800201416,17.162700653076,34.041400909424
1953.0,-0.065441489219666,0.12363895773888,1.9627890586853,0.22506588697433,1.4666600227356,16.570400238037,18.20890045166,23.822299957275,17.051099777222,32.736698150635
1954.0,-0.14847792685032,0.3539947271347,0.11249470710754,-0.0096098780632019,2.4828600883484,13.617300033569,20.921100616455,24.076200485229,16.847200393677,30.966899871826
1955.0,-0.2681555300951,-1.0635845661163,1.5958136916161,0.26440143585205,2.0271350741386,12.168299674988,21.406999588013,26.774799346924,16.152099609375,28.259799957275
1956.0,-0.48400342464447,0.91505697369576,2.1538677811623,0.36652797460556,3.0910094976425,9.2079000473022,20.357999801636,27.020099639893,15.153900146484,25.855400085449
1957.0,-0.39248275756836,2.3096045255661,2.4978830218315,0.60675543546677,1.4813095331192,8.3010597229004,19.389699935913,26.901699066162,14.295399665833,22.504899978638
1958.0,-3.1351282000542,2.1314479410648,2.6861677765846,-0.019031912088394,1.3576837182045,11.410900115967,18.774299621582,28.763299942017,16.894399642944,20.422100067139
1959.0,-1.6082854270935,1.1768917441368,2.8830676674843,-1.2576917409897,1.3976140022278,13.550000190735,18.418199539185,30.149200439453,16.500400543213,18.705699920654
1960.0,0.126604616642,0.11053439974785,2.4055516123772,-2.6231235265732,2.5532768368721,17.676000595093,18.410299301147,29.783500671387,16.440200805664,16.23929977417
1961.0,2.3024485707283,0.73129796981812,0.27023327350616,-2.6473767757416,0.85146242380142,16.025499343872,18.654600143433,27.677200317383,17.137199401855,13.991700172424
1962.0,1.7473541498184,1.2588858008385,5.2910902500153,-1.1378291249275,1.4079117774963,15.474900245667,17.630899429321,26.738500595093,18.72380065918,12.044799804688
1963.0,0.12920808792114,2.4522594213486,3.965188741684,-2.7216026186943,0.66505491733551,15.633099555969,18.09289932251,25.281499862671,20.822599411011,10.828900337219
1964.0,1.091357588768,2.4896200895309,4.4977682828903,-1.2945626378059,1.1637513935566,15.548500061035,18.202699661255,24.207599639893,21.931699752808,9.4258699417114
1965.0,2.017540872097,3.2906997203827,4.1902490854263,0.60106873512268,0.42318114638329,14.808899879456,18.707799911499,23.009000778198,20.381000518799,8.2802000045776
1966.0,2.35378074646,2.9068899154663,5.0102814435959,-1.398987531662,-0.59961238503456,14.07409954071,19.798500061035,22.35479927063,20.247200012207,7.6152701377869
1967.0,0.069730281829834,4.1283403635025,5.6164085865021,0.15446364879608,-0.80632975697517,15.629899978638,22.546699523926,22.609800338745,18.48690032959,7.2638101577759
1968.0,-0.080097019672394,3.0287704467773,4.9049199819565,-0.62913519144058,-0.48868308961391,16.761699676514,22.486299514771,22.473300933838,17.172700881958,6.9861102104187
1969.0,0.71664249897003,1.0840405225754,5.1322207450867,-0.96648299694061,-0.75724764168262,16.802499771118,20.281099319458,22.318799972534,16.811100006104,7.0834498405457
1970.0,1.9750443696976,1.4769228696823,4.4211429357529,0.29116696119308,-0.0009911060333252,18.547680117649,17.725514155146,38.615898132324,16.467199325562,38.882099151611
1971.0,2.2470387220383,1.1380570530891,5.3330496549606,0.25888365507126,0.0096801519393921,17.294044216481,17.805423175599,38.543300628662,15.724800109863,38.660301208496
1972.0,2.7244234085083,0.68169975280762,5.6712181568146,-7.2599278390408,0.048619747161865,16.590263009925,18.027714622123,38.879901885986,14.506500244141,38.035800933838
1973.0,1.9772117733955,2.2710499763489,6.7786700725555,-5.0171078443527,0.56223833560944,16.60300468184,17.389645119609,37.739700317383,13.583000183105,36.952301025391
1974.0,2.0120851993561,-0.41408002376556,5.9012286663055,-2.7636367678642,0.62748062610626,16.729631995323,18.591220047414,35.443500518799,13.503800392151,38.360500335693
1975.0,-1.421734392643,-4.3407807350159,4.4120216369629,-6.3820204734802,1.0417612791061,22.716128134408,23.74598758658,36.683601379395,19.166700363159,42.251399993896
1976.0,-1.987090587616,-1.8557386398315,4.0301113128662,-9.1139907836914,0.19640970230103,26.045666059825,25.173149803014,38.530700683594,24.525899887085,46.659801483154
1977.0,-0.33137953281403,-0.92443943023682,3.1139867305756,-5.8909610509872,0.55040097236633,28.33387310009,26.130363188932,43.782901763916,26.875699996948,46.898300170898
1978.0,-0.54705023765564,-1.024001121521,3.3886301517487,-5.0122504234314,0.94007968902588,31.975046166909,27.469138673118,49.931301116943,31.4037,46.560398101807
1979.0,-0.089259147644043,-0.9176390171051,5.0388932228088,-3.761589050293,0.10638904571533,33.94275788295,28.347167031228,39.567501068115,35.2141,44.599201202393
1980.0,0.77017045021057,-0.90917825698853,8.4577190876007,-4.5554423332214,0.47798073291779,35.39701995179,30.245445588935,36.764301300049,31.0468,43.931701660156
1981.0,0.86969876289368,-1.5020799636841,7.8133790493011,-4.3915386199951,1.2899010181427,37.26927874094,33.736863453249,32.949199676514,39.3043,40.783500671387
1982.0,-0.32011890411377,-0.66848134994507,6.8695473670959,-2.6871781349182,0.59358012676239,39.493535406587,36.571678186273,29.663900375366,42.9874,40.037899017334
